Order,species.name,phylo.name,mean.uvb
Anura,Ischnocnema_manezinho,Ischnocnema_manezinho,3634.51
Anura,Ischnocnema_melanopygia,Ischnocnema_melanopygia,
Anura,Ischnocnema_nanahallux,Ischnocnema_nanahallux,
Anura,Ischnocnema_nasuta,Ischnocnema_nasuta,4640.93
Anura,Ischnocnema_nigriventris,Ischnocnema_nigriventris,3615.94
Anura,Ischnocnema_octavioi,Ischnocnema_octavioi,4167.04
Anura,Ischnocnema_oea,Ischnocnema_oea,4393
Anura,Ischnocnema_paranaensis,Ischnocnema_paranaensis,3773.87
Anura,Ischnocnema_parnaso,,
Anura,Ischnocnema_parva,Ischnocnema_parva,4313.34
Anura,Ischnocnema_penaxavantinho,Ischnocnema_penaxavantinho,4911.35
Anura,Ischnocnema_pusilla,Ischnocnema_pusilla,3932.52
Anura,Ischnocnema_randorum,Ischnocnema_randorum,3741.11
Anura,Ischnocnema_sambaqui,Ischnocnema_sambaqui,3702.4
Anura,Ischnocnema_spanios,Ischnocnema_spanios,4087.55
Anura,Ischnocnema_surda,Ischnocnema_surda,
Anura,Ischnocnema_venancioi,Ischnocnema_venancioi,4140.38
Anura,Ischnocnema_verrucosa,Ischnocnema_verrucosa,4486.16
Anura,Ischnocnema_vizottoi,Ischnocnema_vizottoi,
Anura,Balebreviceps_hillmani,Balebreviceps_hillmani,7681.98
Anura,Breviceps_acutirostris,Breviceps_acutirostris,3709.22
Anura,Breviceps_adspersus,Breviceps_adspersus,4933.32
Anura,Breviceps_bagginsi,Breviceps_bagginsi,3563.18
Anura,Breviceps_branchi,Breviceps_branchi,4554.57
