Species,Order,Body_Mass,ClutchSize,GenSizMed,IUCNStat_2020,IUCNTrend_2020,PhyloPosition,RangeSize (km^2),Latitude,AnnTempRange,PpSeasonality
Probreviceps_macrodactylus,Anura,25.82203859,42.5,7.008,EN,NA,6099,807.9393756,-5.418736522,16,55
Proceratophrys_appendiculata,Anura,23.55207764,598.5,2.15,LC,Decreasing,599,103099.0288,-22.92998061,19,67
Proceratophrys_boiei,Anura,39.8249287,1296,2.42,LC,Stable,596,641625.8066,-19.07239649,19,81
Pseudacris_brimleyi,Anura,3.474815212,247,4.14,LC,Stable,1166,130836.9613,34.63557699,33,24
Pseudacris_crucifer,Anura,4.160301797,917,3.62,LC,Stable,1172,4408423.55,42.57414772,36,15
Pseudacris_nigrita,Anura,2.87168246,429.5,4.05,LC,Stable,1163,366396.6351,31.18714632,30,31
Pseudacris_ocularis,Anura,0.367785436,550,4.6,LC,Stable,1171,325682.7722,31.43739771,27,36
Pseudacris_ornata,Anura,5.355815679,505,3.82,LC,Stable,1170,331604.8391,31.96608389,31,22
Pseudacris_regilla,Anura,11.03606029,882.5,3.81,LC,Stable,1173,1591310.37,43.45941569,38,30
Pseudacris_triseriata,Anura,5.141926213,800,4.37,LC,Decreasing,1161,413356.4364,41.05346646,38,21
Pseudis_paradoxa,Anura,104.2680497,2574.5,1.54,LC,Stable,1485,7359606.671,-7.161454913,15,53
Pseudopaludicola_mystacalis,Anura,0.471940769,119,2.42,LC,Stable,826,2625535.935,-20.0205187,19,77
Pseudophryne_bibronii,Anura,3.806898983,185,8.75,NT,Decreasing,3566,738258.1808,-32.42087944,29,20
Ptychadena_mascareniensis,Anura,35.96735809,1089.5,3.35,LC,NA,5153,6446466.476,-5.958430873,14,51
Pyxicephalus_adspersus,Anura,1901.294377,3500,1.4,LC,Decreasing,4986,3657543.237,-18.99684416,28,109
Quasipaa_boulengeri,Anura,269.1353825,218,3.085,EN,Decreasing,4691,933219.2634,28.4991076,30,56
Rana_amurensis,Anura,32.82985012,2225,5.27,LC,Decreasing,4247,9230128.213,57.2763942,62,88
Rana_areolata,Anura,198.5898747,6000,6.43,NT,Decreasing,4303,619365.5228,35.31277065,37,19
Rana_arvalis,Anura,50.6014321,2250,6.18,LC,Stable,4262,11876092.46,57.45523107,42,30
Rana_aurora,Anura,250.098017,2750,9.19,LC,Decreasing,4280,231396.3384,46.83671874,20,59
Rana_cascadae,Anura,42.85359781,550,7.91,NT,Decreasing,4281,118961.7063,45.23476519,25,62
Rana_catesbeiana,Anura,1033.804488,24400,7.045,LC,Increasing,4329,6849309.802,36.87610906,34,12
Rana_chensinensis,Anura,27.13148729,1082.5,5.34,LC,Decreasing,4241,2881299.048,41.42837098,45,112
Rana_clamitans,Anura,122.1250007,3632.5,7.17,LC,Stable,4328,3856097.496,40.39954204,38,21
Rana_dalmatina,Anura,88.30305551,1150,5.32,LC,Decreasing,4269,1894862.456,45.64804454,27,17
Rana_dybowskii,Anura,59.2674357,1716.5,4.275,LC,Stable,4237,1772237.973,52.55386435,60,86
Rana_graeca,Anura,50.6014321,1100,7.67,LC,Stable,4272,238212.4442,40.96699836,28,23
Rana_grylio,Anura,528.2010128,19500,4.25,LC,Decreasing,4331,338885.9941,30.19598579,28,29
Rana_heckscheri,Anura,431.3461762,6500,6.52,LC,Stable,4330,241880.983,31.6652962,31,27
Rana_italica,Anura,25.82203859,1675,5.66,LC,NA,4264,117560.1268,42.11771616,27,24
Rana_japonica,Anura,35.96735809,1750,5.075,LC,Decreasing,4255,245192.5169,35.95015561,33,34
Rana_latastei,Anura,41.05345795,1560,6.8,VU,Decreasing,4270,35309.36882,45.49954605,29,17
Rana_macrocnemis,Anura,89.20973483,2040,6.055,LC,Decreasing,4267,590619.4323,40.88235829,27,25
Rana_ornativentris,Anura,46.61629604,6500,4.75,LC,Stable,4239,275172.5227,35.9960721,33,35
Rana_palustris,Anura,66.40390642,2116,6.37,LC,Stable,4301,2513688.218,39.7512168,36,20
Rana_pretiosa,Anura,131.7997767,1124.5,9.195,VU,Decreasing,4285,64853.39216,44.45991381,28,65
Rana_pyrenaica,Anura,11.03606029,142.5,4.234,EN,Decreasing,4261,2178.666645,42.7319626,23,13
Rana_septentrionalis,Anura,42.85359781,2250,8.16,LC,Stable,4332,2133167.935,48.40190715,46,30
Rana_sphenocephala,Anura,226.1909925,4449,7.5,LC,Stable,4299,1940284.423,34.41277909,34,20
Rana_sylvatica,Anura,57.01173656,2520,5.83,LC,Stable,4326,10709039.93,55.28370334,48,59
Rana_tagoi,Anura,17.95072193,1833,5.3,LC,Stable,4245,279604.4025,35.93313278,33,35
Rana_temporaria,Anura,141.9918934,2382.5,4.49,LC,Stable,4260,9334465.296,56.97436023,35,37
Rana_tsushimensis,Anura,12.53147188,400,5.25,LC,Stable,4275,679.5024728,34.40577415,28,52
Rhacophorus_pardalis,Anura,41.05345795,47,2.675,LC,Decreasing,3952,136069.5653,3.704969564,9,23
Rhinella_crucifer,Anura,107.68,3334.835,3.15,LC,Decreasing,272,364419.474,-11.95789567,12,23
Rhinella_icterica,Anura,834.2820843,8840.415,2.91,LC,Stable,257,1564313.876,-21.50765984,18,72
Rhinella_marina,Anura,2029.910446,20050,4.76,LC,Increasing,249,10623524.7,-2.131291106,10,97
Rhinella_schneideri,Anura,2029.910446,1608.5,3.29,NA,NA,246,6440192.815,-17.14253997,17,75
Rhinophrynus_dorsalis,Anura,74.11344159,4132.5,4.79,LC,Stable,6353,313356.5622,17.82898568,18,59
